query_id, mesh_keyword_id, frequency, weighted_frequency
11,44822,6,6
11,16208,4,4
11,818,4,4
11,19295,4,4
11,17753,4,4
11,2965,3,3
11,12988,3,3
11,12987,2,2
11,20407,2,2
11,9626,2,2
11,48088,2,2
11,5843,2,2
11,4777,2,2
11,18407,2,2
11,5658,2,2
11,1419,2,2
11,10944,2,2
11,3247,2,2
15,10944,2,2
15,3247,2,2
22,6801,100,100
22,8969,100,100
31,11110,2,2
31,4777,2,2
31,8800,2,2
31,12376,2,2
31,595,2,2
31,13045,2,2
31,4272,2,2
31,8969,2,2
31,10802,3,3
31,1483,3,3
31,5843,3,3
31,818,9,6
31,12589,9,9
33,5075,4,4
33,8862,4,4
33,7774,5,5
33,6197,5,5
33,15995,5,5
33,10802,5,5
33,7668,5,5
33,6339,5,5
33,19162,5,5
33,8892,5,5
33,8969,5,5
33,778,5,5
33,4338,5,5
33,14235,5,5
33,1831,5,5
33,7074,5,5
33,9792,5,5
33,831,5,5
33,595,5,5
33,12098,6,6
33,5466,6,6
33,11075,6,6
33,6454,6,6
33,12016,6,6
33,14234,6,6
33,14801,6,6
33,13997,6,6
33,1717,6,6
33,11157,6,6
33,16036,6,6
33,55768,7,7
33,8322,7,7
33,375,7,7
33,1921,7,7
33,12737,7,7
33,1522,7,7
33,13992,8,8
33,12119,8,8
33,6842,8,8
33,15041,8,8
33,12886,8,8
33,5411,9,9
33,7103,9,9
33,4032,10,10
33,14874,10,10
33,367,11,11
33,4285,11,11
33,6846,12,12
33,9664,12,12
33,46048,12,12
33,835,12,12
33,13538,13,13
33,8628,14,14
33,13045,15,15
33,12621,15,15
33,4781,16,16
33,7306,16,16
33,14018,17,17
33,2170,18,18
33,20387,18,18
33,413,19,19
33,836,21,21
33,2335,22,22
33,6843,23,23
33,8099,26,26
33,273,29,29
33,11078,29,29
33,6116,40,40
33,4784,42,42
33,1110,47,47
33,8297,107,56
33,5260,112,58
33,4785,58,58
33,818,186,112
33,1503,170,170
